iter	RMSE
0	827.6530409
1	793.8326756
2	764.2568814
3	734.9907001
4	707.315447
5	679.4674589
6	653.9233524
7	628.6073178
8	606.8347702
9	585.1785034
10	563.6864408
11	542.9511329
12	523.8553881
13	505.1453098
14	490.4320097
15	473.6054983
16	458.2156657
17	442.6898112
18	428.0313476
19	413.6065521
20	400.4258049
21	387.8131146
22	376.8456481
23	366.0907215
24	354.7328658
25	343.2212399
26	333.8135297
27	324.2346995
28	315.2568864
29	306.3629302
30	298.1112314
31	289.9345176
32	283.2089245
33	275.9317557
34	268.3434355
35	261.6978284
36	255.2446778
37	248.6463508
38	242.7500791
39	236.9306814
40	233.5007537
41	228.2867091
42	223.5511949
43	219.4853884
44	216.9795067
45	213.4279074
46	210.9554725
47	208.1895334
48	204.2540711
49	201.819321
50	198.9828018
51	195.5362083
52	192.2491004
53	190.5455691
54	188.6067813
55	186.2943879
56	183.617752
57	180.6846598
58	177.8182779
59	176.2015967
60	174.8646168
61	173.0917912
62	172.0180694
63	169.9105569
64	167.7588071
65	166.4773992
66	165.2670857
67	163.0032943
68	161.1249625
69	159.9876192
70	159.0473505
71	158.1613883
72	156.480382
73	155.3374459
74	153.670393
75	152.9640481
76	151.9262117
77	150.1970608
78	148.552664
79	147.7300382
80	146.4384887
81	144.7469072
82	143.2870563
83	141.9168114
84	141.2159052
85	139.8029796
86	138.7524945
87	137.3456894
88	135.9723477
89	134.9198619
90	134.1996799
91	132.9449626
92	131.2257473
93	130.0817239
94	128.9133392
95	127.800021
96	127.2798465
97	126.7447623
98	126.4253865
99	125.1515764
100	124.6697835
101	124.1733653
102	123.5469765
103	122.5073455
104	121.1754319
105	120.2810918
106	119.7213285
107	119.2724122
108	118.4381876
109	117.9498563
110	117.6314302
111	116.7620775
112	115.7388861
113	115.3418142
114	114.5035884
115	113.9923002
116	113.6823224
117	112.6958632
118	111.5156061
119	111.2271162
120	110.9043386
121	110.6368097
122	109.7866685
123	109.6259528
124	108.6696046
125	107.8008665
126	107.0409603
127	106.2953809
128	105.5657316
129	104.87566
130	104.4620189
131	104.171383
132	103.4622393
133	102.6140026
134	102.3514634
135	102.1116724
136	101.9265808
137	101.7137028
138	100.994697
139	100.1693699
140	99.44924082
141	98.74551903
142	98.35270527
143	97.73635056
144	96.90968653
145	96.27174738
146	95.72487379
147	95.33203056
148	94.75744184
149	94.1198185
150	93.56699942
151	93.1698678
152	92.97373105
153	92.54269957
154	91.60652878
155	91.01801268
156	90.44497612
157	89.88379617
158	89.33080275
159	88.74058409
160	88.16316621
161	87.63279401
162	87.1799762
163	86.72126332
164	86.25196328
165	85.69368665
166	85.26242229
167	84.77219331
168	84.29725109
169	83.83662303
170	83.34662385
171	82.96492112
172	82.54521324
173	82.08906964
174	81.69639889
175	81.25085982
176	80.87819573
177	80.53571227
178	80.21573717
179	79.74888984
180	79.01392196
181	78.62081353
182	78.23192688
183	77.85083839
184	77.45962986
185	77.09395125
186	76.80363003
187	76.46762708
188	76.04785906
189	75.7912075
190	75.49411011
191	75.1496709
192	74.90828512
193	74.62974074
194	74.32283892
195	74.03143392
196	73.72553341
197	73.42063622
198	73.13826675
199	72.54826061
200	72.25474366
201	71.8658881
202	71.64729516
203	71.3725197
204	71.1047014
205	70.84663069
206	70.58337906
207	70.11296262
208	69.82417558
209	69.40751269
210	68.87210151
